"ID"	"First_Author"	"NIST_Author"	"Journal"	"Year"	"Volume"	"m_1st_Page"	"PDF_Avail"	"Instrument"	"CHRNS_"	"Title"	"Second_Author"	"Third_Author"	"m_4th_Plus_Authors"	"Topic"	"Subtopic"	"Abstract"
349	"Tian J"	1	"Macromolecules"	"2004"	"37 (26)"	"10001"	1	"NG3SANS"	"CHRNS"	"Physically Cross-Linked Alkylacrylamide Hydrogels: A SANS Analysis of the Microstructure"	"Seery TAP"	"Ho DL"	"Weiss RA"	"Polymers"	"Hydrogels"	"No available"
350	"Ding J"	1	"Langmuir"	"2004"	"20 (21)"	"9262"	1	"NG7SANS"	"NOT CHRNS"	"Diffraction Techniques for Nonlamellar Phases of Phospholipids"	"Liu W"	"Glinka CJ"	"Worcester DL, Yang L, Huang HW"	"Biology"	"Phospholipids"	
351	"Chen SH"	1	"Langmuir"	"2004"	"20 (20)"	"8909"	1	"NG1SANS"	"NOT CHRNS"	"Aging of Poly(2-methoxy-5-(2'ethoxyloxy)-1,4-phenylenevinylene)/Toluene Solutions and Subsequent Effects on Luminescence Behavior in Cast Films"	"Su AC"	"Chang CS"	"Chen HL, Ho DL, Tsao CS, Peng KY, Chen SA"	"Polymers"	"Polymer solutions"	
352	"Singh M"	0	"Langmuir"	"2004"	"20 (23)"	"9931"	1	"NG3SANS"	"CHRNS"	"Structural Evolution in Cationic Micelles upon Incorporation of a Polar Organic Dopant"	"Ford C"	"Agarwal V"	"Fritz G, Bose A, Hohn VT, McPherson GL"	"Complex fluids"	"Micelles"	
353	"Gerber M"	1	"Langmuir"	"2004"	"20 (20)"	"8510"	1	"NG3SANS"	"CHRNS"	"Characterization of Rodlike Aggregates Generated from a Cationic Surfactant and a Polymerizable Counterion"	"Kline SR"	"Walker LM"		"Complex fluids"	"Polymerizable counterions"	
355	"Xu T"	0	"Macromolecules"	"2004"	"37 (7)"	"2625"	1	"NG3SANS"	"CHRNS"	"Electric Field Alignment of Symmetric Diblock Copolymer Thin Films"	"Zhu Y"	"Gido SP"	"Russell TP"	"Polymers"	"Films"	
356	"Jones RL"	0	"Macromolecules"	"2004"	"37 (18)"	"6676"	1	"NG7SANS"	"NOT CHRNS"	"Phase Behavior of Ultrathin Polymer Mixtures"	"Indrakanti A"	"Briber RM"	"Muller M, Kumar SK"	"Polymers"	"Films"	
357	"Fedeyko JM"	0	"Journal of Physical Chemistry B"	"2004"	"108 (33)"	"12271"	1	"NG3SANS"	"CHRNS"	"Spontaneous Formation of Silica Nanoparticles in Basic Solutions of Small Tetraalkylammonium Cations"	"Rimer JD"	"Lobo RF"	"Vlacjos DG"	"Materials science"	"Silica"	
358	"Stancik CM"	0	"Langmuir"	"2004"	"20 (21)"	"8975"	1	"NG3SANS"	"CHRNS"	"A Neutron Scattering Study of the Structure and Water Partitioning of Selectively Deuterated Copolymer Micelles"	"Lavoie AR"	"Acurra PA"	"Waymouth RM, Gast AP"	"Complex fluids"	"Copolymer micelles"	
359	"Yoonessi M"	0	"Macromolecules"	"2004"	"37 (7)"	"2511"	1	"NG3SANS"	"CHRNS"	"Preparation, Characterization and Properties of Exfoliated/Delaminated Organically Modified Clay/Dicyclopentadiene Resin Nanocomposites"	"Toghiani H"	"Kingery WL"	"Pittman CU"	"Materials science"	"composites"	
360	"Davidock DA"	0	"Macromolecules"	"2004"	"37 (2)"	"397"	1	"NG7SANS"	"NOT CHRNS"	"Mapping Large Regions of Diblock Copolymer Phase Space by Selective Chemical Modification"	"Hillmyer MA"	"Lodge TP"		"Polymers"	"Copolymers"	
361	"Moeser GD"	0	"Langmuir"	"2004"	"20 (13)"	"5223"	1	"NG3SANS"	"CHRNS"	"Structure of Polymer-Stabilized Magnetic Fluids: Small-Angle Neutron Scattering and Mean-Field Lattice Modeling"	"Green WH"	"Laibinis PE"	"Linse P, Hatton TA"	"Complex fluids"	"Pluronics"	"Small-angle neutron scattering and mean-field lattice modeling were used to characterize a class of water-based magnetic fluids tailored specifically to extract soluble organic compounds from water. The fluids consist of a suspension of ~7 nm magnetite (Fe3O4) nanoparticles coated with a bifunctional polymer layer comprised of an outer hydrophilic poly(ethylene oxide) (PEO) region for colloidal stability and an inner hydrophobic poly(propylene oxide) (PPO) region for solubilization of organic compounds. The inner region of the polymer shell is increasingly depleted of water as the fraction of PPO side chains increases. The incorporation of PPO side chains also leads to a small increase in interparticle attraction. The lattice model predicted a shell structure similar to that of a PEO-PPO-PEO triblock copolymer (Pluronic) micelle, with equivalent levels of hydration but with more PEO present in the PPO-rich regions, as the side chains grafted to the surface are less able to segregate than when in free micellar systems."
362	"Gonzales YI"	0	"Langmuir"	"2004"	"20 (17)"	"7053"	1	"NG7SANS"	"NOT CHRNS"	"Spontaneous vesicle formation and phase behavior in mixtures of an anionic surfactant with imidazoline compounds"	"Stjerndahl M"	"Danino D"	"Kaler EW"	"Complex fluids"	"Surfactants"	
364	"Lee JS"	0	"Macromolecules"	"2004"	"37 (26)"	"10199"	1	"NG3SANS"	"CHRNS"	"Effect of butadiene end-capping of arms in a star polystyrene on solution properties, bulk dynamics and bulk thermodynamic interactions in binary blends"	"Quirk RP"	"Foster MD"		"Polymers"	"Star polymers"	
365	"Lin TL"	0	"Journal of Physical Chemistry B"	"2004"	"108"	"14884"	1	"NG1SANS"	"NOT CHRNS"	"Effect of arm length on the aggregation structure of fullerene-based star ionomers"	"Jeng U"	"Tsao CS"	"Liu WJ, Canteenwala T, Chiang LY"	"Polymers"	"Ionomers"	
366	"Nieh M-P"	0	"Langmuir"	"2004"	"20 (21)"	"9061"	1	"NG7SANS"	"NOT CHRNS"	"Effect of the hydrophilic size on the structural phases of aqueous nonionic gemini surfactant solutions"	"Kumar SK"	"Fernando RH"	"Colby RH, Katsaras J"	"Complex fluids"	"Surfactants"	
367	"Ryu DY"	0	"Macromolecules"	"2004"	"37 (16)"	"5851"	1	"NG3SANS"	"CHRNS"	"Complex phase behavior of a weakly interacting binary blend"	"Lee DH"	"Jang J"	"Kim JK, Lavery K, Russell ."	"Polymers"	"Phase diagram"	
368	"Tande BM"	0	"Macromolecules"	"2004"	"36 (12)"	"4619"	1	"NG7SANS"	"NOTCHRNS"	"Influence of end groups on dendrimer rheology and conformation"	"Wanger NJ"	"Kim YH"		"Complex fluids"	"Rheology"	
369	"Sung L-P"	1	"Polymer"	"2004"	"45 (19)"	"6639"	1	"NG7SANS"	"NOT CHRNS"	"Effect of microstructure of fluorinated acrylic coatings on UV degradation testing"	"Vicini S"	"Ho DL"	"Hedhlim L, Olmstead C, Wood KA"	"Materials science"	"Acrylic coatings"	
370	"Yang S"	1	"Chemistry of Materials"	"2002"	"14 (1)"	"369"	1	"NG1SANS and NG3SANS"	"CHRNS"	"Nanoporous ultralow dielectric constant organisilicates templated by triblock copolymers"	"Mirau PA"	"Pai CS"	"Nalamasu O, Reichmanis E, Pai JC, Obeng YS, Seputro J, Lin EK, Lee HJ, Sun J, Gidley DW"	"Polymers"	"Copolymers"	
371	"Yurekli K"	0	"Macromolecules"	"2002"	"35 (10)"	"4075"	1	"NG3SANS"	"CHRNS"	"Dynamics of block copolymer micelles"	"Krishnamoorti R"			"Complex fluids"	"Coplymer micelles"	
372	"Ijiri Y"	1	"Applied Physics Letters"	"2005"	"86 (24)"	"243102"	1	"NG3SANS and NG7SANS"	"CHRNS"	"Detection of spin coupling in iron nanoparticles with small angle
neutron scattering"	"Kelly CV"	"Borchers JA"	"Rhyne JJ, Farrell DF, Majetich SA
Ijiri, Y., Kelly, C.V., Borchers, J.A. , Rhyne, J.J., Farrell,  D.F., Majetich, S.A."			
373	"Fedeyko JM"	0	"Langmuir"	"2005"	"21 (11)"	"5197"	1	"NG3SANS"	"CHRNS"	"Formation and structure of self-assembled silica nanoparticles in basic solutions of organic and inorganic cations"	"Vlachos DG"	"Lobo RF"		"Materials science"	"Nanoparticles"	
374	"Mason TG"	1	"Physical Review E"	"2005"	"71 (4)"	"040801"	1	"NG7SANS"	"NOT CHRNS"	"Density profiles of temperature-sensitive microgel particles"	"Lin MY"			"Complex Fluids"	"Gels"	
375	"Lee CT"	0	"Biochemistry"	"2005"	"44 (2)"	"524"	1	"NG3SANS"	"CHRNS"	"Photocontrol of protein folding: The interaction of photosensitive surfactants with bovine serum albumin"	"Smith KA"	"Hatton TA"		"Biology"	"Protein folding"	
376	"Cook JC"	1	"Review of Scientific Instruments"	"2005"	"76 (2)"	"025108"	1	"NG3SANS"	"CHRNS"	"Performance of the vertical optical filter for the NG-3 30 m SANS instrument at the National Institute of Standards and Technology's Center for Neutron Research"	"Glinka CJ"	"Schroder IG"		"Instrumentation"	"Optical Filters"	
377	"Hammouda B"	1	"Macromolecules"	"2005"	"38 (5)"	"2019"	1	"NG3SANS"	"CHRNS"	"Clustering and Solvation in Poly(acrylic acid) Polyelectrolyte Solutions"	"Horkay F"	"Becker ML"		"Polymers"	"End Effects"	
378	"Silverstein MS"	1	"Macromolecules"	"2005"	"38 (10)"	"4301"	1	"NG1SANS and NG7SANS"	"NOT CHRNS"	"Nanopore Formation in a Polyphenylene Low-k Dielectric"	"Shach-Caplan M"	"Bauer BJ"	"Hedden RC, Lee H-J, Landes BG"			
379	"Hubbard F"	0	"Langmuir"	"2005"	"21 (14)"	"6131"	1	"NG3SANS"	"CHRNS"	"Small-Angle Neutron Scattering from Mixtures of Sodium Dodecyl Sulfate and a Cationic, Bolaform Surfactant Containing Azobenzene"	"Santonicola G"	"Kaler EW"	"Abbott NL"			
380	"George M"	0	"Langmuir"	"2005"	"21 (22)"	"9970"	1	"NG7SANS"	"NOT CHRNS"	"Gelation of Perfluorinated Liquids by N-Alkyl Perfluoroalkanamides"	"Snyder SL"	"Terech P"	"Weiss RG"			
381	"Loizou E"	1	"Macromolecules"	"2005"	"38 (6)"	"2047"	1	"NG3SANS and USANS"	"CHRNS"	"Large Scale Structures in Nanocomposite Hydrogels"	"Butler P"	"Porcar L"	"Kesselman E, Talmon Y, Dundigalla A, Schmidt G"			
382	"Yoonessi M"	0	"Macromolecules"	"2005"	"38 (3)"	"818"	1	"NG3SANS and USANS"	"CHRNS"	"Clay delamination in clay/poly(dicyclopentadiene) nanocomposites quantified by small angle neutron scattering and high-resolution transmission electron microscopy"	"Toghiani H"	"Daulton TL"	"Lin J-S, Pittman CJ"			
383	"Egres RG"	0	"Journal of Rheology"	"2005"	"49 (3)"	"719"	1	"NG3SANS and NG7SANS"	"CHRNS"	"The rheology and microstructure of acicular precipitated calcium carbonate colloidal suspensions through the shear thickening transition"	"Wagner NJ"					
384	"Xu B"	0	"Journal of Physical Chemistry B"	"2005"	"109 (20)"	"10261"	1	"NG3SANS"	"CHRNS"	"NMR and SANS studies of aggregation and microemulsion formation by phosphorus fluorosurfactants in liquid and supercritical carbon dioxide"	"Lynn GW"	"Guo J"	"Melnichenko YB, Wignall GD, McClain JB, DeSimone JM, and  Johnson, Jr. CS"			
386	"Nieh M-P"	0	"Biocolloids: American Chemical Society Meeting"	"2005"	"219"	"135"	0			"Structural phase behavior of high-concentration, alignable biomimetic bicelle mixtures"	"Raghunathan VA"	"Glinka CJ"	"et al."			
387	"Yue BH"	1	"Macomolecular Symposium"	"2005"	"219"	"123"	1	"NG7SANS"	"NOT CHRNS"	"Spontaneously forming unilamellar phospholipid vesicles"	"Huang C-Y"	"Nieh M-P"	"et al."			
388	"Vogt BD"	1	"Chemistry of Materials"	"2005"	"17 (6)"	"1398"	1	"NG1SANS"	"NOT CHRNS"	"Characterization of ordered mesoporous silica films using small-angle neutron scattering and X-ray porosimetry"	"Pai RA"	"Lee HJ"	"Hedden RC, Soles CL, Wu W-L, Lin EK, Bauer BJ, Watkins JJ"			
390	"Lee JH"	1	"Langmuir"	"2005"	"21 (1)"	"26"	1	"NG1SANS and NG3SANS"	"CHRNS"	"Vesicle-biopolymer gels: Networks of surfactant vesicles connected by associating biopolymers"	"Gustin JP"	"Chen TH"	"Payne GF, Raghavan SR"			
391	"Yue BH"	1	"Journal of Physical Chemistry B"	"2005"	"109 (1)"	"609"	1	"NG7SANS"	"NOT CHRNS"	"Highly stable phospholipid unilamellar vesicles from spontaneous vesiculation: A DLS and SANS study"	"Huang C-Y"	"Nieh M-P"	"Glinka CJ, Katsaras J"			
392	"Gonzales YI"	0	"Journal of Physical Chemistry B"	"2005"	"109 (23)"	"11675"	1	"NG7SANS"	"NOT CHRNS"	"Influence of pH on the Micelle-to-Vesicle Transition in Aqueous Mixtures of Sodium Dodecyl Benzenesulfonate with Histidine"	"Nakanishi H"	"Stjerndahl M"	"Kaler E.W"			
393	"Lettow JS"	1	"Langmuir"	"2005"	"21 (13)"	"5738"	1	"NG3SANS"	"CHRNS"	"Small-Angle Neutron Scattering and Theoretical Investigation of Poly(ethylene oxide)-Poly(propylene oxide)-Poly(ethylene oxide) Stabilized Oil-in-Water Microemulsions"	"Lancaster TM"	"Glinka CJ"	"Ying JY"			
394	"Sirota EB"	0	"Energy & Fuels"	"2005"	"19 (5)"	"1290"	1	"NG7SANS"	"NOT CHRNS"	"Physical Structure of Asphaltenes"						
395	"Park MJ"	0	"Macromolecules"	"2005"	"38 (6)"	"2449"	1	"NG7SANS"	"NOT CHRNS"	"Order-Disorder Transition and Critical Micelle Temperature in Concentrated Block Copolymer Solutions"	"Char K"	"Bang J"	"Lodge TP"			
396	"Hamilton WA"	1	"Physica B"	"2005"	"357 (1-2)"	"88"	1	"NG7SANS"	"NOT CHRNS"	"Using neutron reflectometry and reflection geometry 'near-surface\" SANS to investigate surfactant micelle organization at a solid-solution interface"	"Porcar L"	"Magid LJ"				
397	"Lelong G"	1	"Journal of Chemical Physics"	"2005"	"122 (16)"	"164504"	1	"NG3SANS"	"CHRNS"	"Molecular dynamics of confined glucose solutions"	"Price DL"	"Douy A"	"Kline S, Brady JW, Saboungi M-L"			
398	"McElhanon JR"	1	"Langmuir"	"2005"	"21 (8)"	"3259"	1	"NG7SANS"	"NOT CHRNS"	"Thermally cleavable surfactants based on furan-maleimide Diels-Alder adducts"	"Zifer T"	"Kline SR"	"Wheeler DR, Loy DA, Jamison GM, Long TM, Rahimian K, Simmons BA"			
399	"Pencer J"	0	"Biophysical Journal"	"2005"	"88 (1s)"	"76a"	0	"NG7SANS"	"NOT CHRNS"	"Detection of submicron-sized domains or so-called \"rafts\" in membranes by small-angle neutron scattering"	"Krueger S"	"Epand R"	"et al."			
400	"Zhou J"	0	"Biophysical Journal"	"2005"	"88 (1s)"	"513a"	0	"NG7SANS"	"NOT CHRNS"	"Theoretical prediction of SANS profiles of nucleic acids in solution from MD simulations"	"Krueger S"	"Gregurick SK"				
401	"Jeng US"	1	"Physica B"	"2005"	"357 (1-2)"	"193"	1	"NG1SANS"	"NOT CHRNS"	"Dispersion of fullerenes in phospholipid bilayers and the subsequent phase changes in the host bilayers"	"Hsu Ch"	"Lin TL"	"Wu C-M, Chen H-L, Tai L-A, Hwang K-C"			
405	"Zhou J"	1	"Computer Physics Communications"	"2005"	"170 (2)"	"186"	1	"NG3SANS and NG7SANS"	"CHRNS"	"LORES: Low resolution shape program for the calculation of small angle scattering profiles for biological macromolecules in solution  • ARTICLE"	"Deyhim A"	"Krueger S"	"Gregurick SK"			
407	"Horkay F"	0	"Polymer"	"2005"	"46 (12)"	"4242"	1	"NG3SANS"	"CHRNS"	"Structural investigations of a neutralized polyelectrolyte gel and an associating neutral hydrogel  • ARTICLE"	"Basser PJ"	"Hecht A-M"	"Geissler E"			
408	"Lin-Gibson S"	1	"Macromolecules"	"2005"	"38 (7)"	"2897"	1	"NG7SANS"	"NOT CHRNS"	"Structure-Property Relationships of Photopolymerizable Poly(ethylene glycol) Dimethacrylate Hydrogels"	"Jones RL"	"Washburn NR"	"Horkay F"			
409	"Fitzgerald PA"	0	"Langmuir"	"2005"	"21 (16)"	"7121"	1	"NG3SANS"	"CHRNS"	"Micellar Structure in Gemini Nonionic Surfactants from Small-Angle Neutron Scattering"	"Davey TW"	"Warr GG"				
410	"Kalur GC"	0	"Journal of Physical Chemistry B"	"2005"	"109 (18)"	"8599"	1	"NG3SANS"	"CHRNS"	"Anionic Wormlike Micellar Fluids that Display Cloud Points: Rheology and Phase Behavior"	"Raghavan SR"					
411	"Liu SY"	0	"Macromolecules"	"2005"	"38 (6)"	"2482"	1	"NG3SANS"	"CHRNS"	"Polymerization of Wormlike Micelles Induced by Hydrotropic Salt"	"Gonzalez YI"	"Danino D"	"Kaler EW"			
412	"Xu T"	0	"Macromolecules"	"2005"	"38 (7)"	"2802"	1	"NG3SANS"	"CHRNS"	"Interfacial Interaction Dependence of Microdomain Orientation in Diblock Copolymer Thin Films"	"Hawker CJ"	"Russell TP"				
413	"Nieh M-P"	1	"Langmuir"	"2005"	"21 (15)"	"6656"	1	"NG7SANS"	"NOT CHRNS"	"Spontaneously Formed Unilamellar Vesicles with Path-Dependent Size Distribution"	"Raghunathan VA"	"Kline SR"	"Harroun TA, Huang C-Y, Pencer J, Katsaras J"			
414	"Harroun TA"	0	"Langmuir"	"2005"	"21 (12)"	"5356"	1	"NG7SANS"	"NOT CHRNS"	"Comprehensive Examination of Mesophases Formed by DMPC and DHPC Mixtures"	"Koslowsky M"	"Nieh M-P"	"de Lannoy C-F, Raghunathan VA, Katsaras J"			
415	"Rimer JD"	0	"Journal of Physical Chemistry B"	"2005"	"109 (26)"	"12762"	1	"NG3SANS"	"CHRNS"	"Evolution of Self-Assembled Silica-Tetrapropylammonium Nanoparticles at Elevated Temperatures"	"Vlachos DG"	"Lobo RF"				
416	"Kim M-H"	1	"Journal of Applied Crystallography"	"2005"	"38 (5)"	"734"	1	"NG7SANS"	"NOT CHRNS"	"Application of In-Situ Vapor Sorption Small Angle Neutron Scattering (SANS)
to Semi-Crystalline Polymers: Vapor Pathway and Structure Evolution in
Semi-crystalline Linear Polyethylene"	"Glinka CJ"		"Kim, M.-H., Glinka, C.J."			
417	"Porcar L"	1	"Physical Review Letters"	"2005"	"95 (7)"	"078302"	1	"NG7SANS"	"NOT CHRNS"	"Shear-Induced Collapse of in a Lyotropic Lamellar Phase"	"Hamilton WA"	"Warr GG"	"Butler PD"			
418	"Pencer J"	1	"Biochim et Biophys. Acta"	"2005"	"1720"	"84"	0	"NG1SANS"	"NOT CHRNS"	"Bilayer thickness and thermal response of dimyristoylphosphatidylcholine unimellar vesicles containing cholesterol, ergesterol and lanosterol: A small-angle neutron scattering study"	"Nieh M-P"	"Harroun T"	"Krueger S, Adams C, Katsaras J"			
419	"Wang H"	1	"Chemical Physics Letters"	"2005"	"416 (1-3)"	"182"	1	"NG1SANS"	"NOT CHRNS"	"Shear-SANS study of single-walled carbon nanotube suspensions"	"Christopherson GT"	"Xu ZY"	"Porcar L, Ho DL, Fry D, Hobbie EK"			
420	"Cipriano BH"	1	"Colloids & Surfaces A"	"2005"	"262 (1-3)"	"8"	1	"NG1SANS"	"NOT CHRNS"	"Surface tension and contact angle measurements of a hexadecyl imidazolium surfactant adsorbed on a clay surface"	"Raghavan SR"	"McGuiggan PM"				
421	"Kostko AF"	0	"Journal of Physical Chemistry B"	"2005"	"109 (4)"	"19126"	1	"NG1SANS"	"NOT CHRNS"	"Salt effects on the phase behavior, structure and rheology of chromatic liquid crystals"	"Cipriano BH"	"Pinchuk OA"	"Ziserman L, Anisimov MA, Danino D, Raghavan SR"			
422	"Vogt BD"	1	"Journal of Physical Chemistry B"	"2005"	"109 (39)"	"18445"	1	"NG1SANS"	"NOT CHRNS"	"Specular x-ray reflectivity and small angle neutron scattering for structure determination of ordered mesoporous dielectric films"	"Lee H-J"	"Wu W-L"	"Liu Y"			
423	"Pencer J"	1	"European Physical Journal, E
European Physics Journal, E: Soft Matter"	"2005"	"18 (4)"	"447"	0	"NG1SANS and NG7SANS"	"NOT CHRNS"	"Detection of submicron-sized raft-like domains in membranes by small-angle neutron scattering"	"Mills T"	"Anghel V"	"Krueger S, Epand RM, Katsaras J"			
425	"Akcora P"	0	"Polymer"	"2005"	"46 (14)"	"5194"	1	"NG1SANS"	"NOT CHRNS"	"Structural and magnetic characterization of norbornene-deuterated norbornene dicarboxylic acid diblock copolymers doped with iron oxide nanoparticles"	"Zhang X"	"Varughese B"	"Briber RM, Kofinas P"			
426	"Hamill AC"	0	"Biochemistry"	"2005"	"44 (46)"	"15139"	1	"NG3SANS"	"CHRNS"	"Probing lysozyme conformation with light reveals a new folding intermediate"	"Wang S-C"	"Lee CT"				
428	"Bhatia SR"	0	"Current Opinion in Colloid & Interface Science"	"2005"	"9 (6)"	"404"	1	"USANS"	"CHRNS"	"Ultra-small-angle scattering studies of complex fluids"						
429	"Itakura T"	0	"Applied Clay Science"	"2005"	"29 (1)"	"1"	0	"USANS"	"CHRNS"	"The nanoscale structural response of a natural kaolinitic clayey soil subjected to uniaxial compression"	"Bertram WK"	"Knott RB"				
430	"Zank J"	1	"Physica B"	"2006"	"385-386 (1)"	"776"	1	"USANS and IGOR"	"CHRNS"	"Aggregation in a high internal phase emulsion observed by SANS and USANS"	"Reynolds PA"	"Jackson AJ"	"Baranyai KJ, Perriman AW, Barker JG, Kim M-H, White JW"			
431	"Kalur GC"	0	"Langmuir"	"2005"	"21 (24)"	"10998"	1	"NG3SANS"	"CHRNS"	"Viscosity Increase with temperature in cationic surfactant solutions due to the growth of wormlike micelles"	"Frounfelker BD"	"Cipriano BH"	"Norman AI, Raghavan SR"			
432	"Long TM"	1	"Langmuir"	"2005"	"21 (20)"	"9365"	1	"NG3SANS"	"CHRNS"	"Metathesis depolymerization of removable surfactant templates"	"Simmons BA"	"McElhanon JR"	"Kline SR, Wheeler DR, Loy DA, Rahimian K, Zifer T, Jamison GM"			
433	"Malardier-Jugroot C"	0	"Langmuir"	"2005"	"21 (22)"	"10179"	1	"NG3SANS"	"CHRNS"	"Novel self-assembly of amphiphilic copolymers into nanotubes: Characterization by small-angle neutron scattering"	"van de Ven TGM"	"Cosgrove T"	"Richardson RM, Whitehead MA"			
434	"Ramakrishnan S"	0	"Langmuir"	"2005"	"21 (22)"	"9917"	1	"NG3SANS"	"CHRNS"	"Clustering and mechanics in dense depletion and thermal gels"	"Gopalakrishnan V"	"Zukoski CF"				
435	"Santonicola GM"	0	"Langmuir"	"2005"	"21 (22)"	"9955"	1	"NG3SANS"	"CHRNS"	"Mixtures of n-octyl-beta-d-glucoside and triethylene glycol mono-n-octyl ether: Phase behavior and micellar structure near the liquid-liquid phase boundary"	"Kaler EW"					
436	"DiNoia TP"	0	"Macromolecules"	"2005"	"38 (22)"	"9393"	1	"NG3SANS"	"CHRNS"	"Observation of polymer chain contraction near the overlap concentration"	"Park I-H"	"McHugh MA"	"van Zanten JH"			
437	"Geissler E"	0	"Macromolecular Symposia"	"2005"	"227"	"27"	1	"NG3SANS"	"CHRNS"	"Light, small angle neutron and x-ray scattering from gels"	"Hecht A-M"	"Rochas C"	"Horkay F, Basser PJ"			
438	"Pozzo DC"	0	"Macromolecular Symposia"	"2005"	"227"	"203"	1	"NG3SANS"	"CHRNS"	"Three-dimensional nanoparticle arrays templated by self-assembled block-copolymer gels"	"Walker LM"					
439	"Chrichton MA"	0	"Langmuir"	"2005"	"21 (22)"	"10028"	1	"NG3SANS and USANS"	"CHRNS"	"Large-scale structure in gels of attractive block copolymer micelles"	"Bhatia SR"					
440	"Nixon BT"	1	"Biochemistry"	"2005"	"44 (42)"	"13962"	1	"NG7SANS"	"NOT CHRNS"	"SAS solution structures of the apo and Mg2+/BeF3- bound receiver domain of DctD from Sinorhizobium meliloti"	"Yennawar HP"	"Doucleff M"	"Pelton JG, Wemmer DE, Krueger S, Kondrashkina E"			
442	"Norman AI"	1	"Journal of Colloid and Interface Science"	"2005"	"288 (1)"	"155"	1	"NG7SANS"	"NOT CHRNS"	"Phase behavior of block co-poly(ethylene oxide-butylene oxide) E18B9 in water, by small angle neutron scattering"	"Ho DL"	"Karim A"	"Amis EJ"			
443	"Alessi ML"	1	"Macromolecules"	"2005"	"38 (22)"	"9333"	1	"NG7SANS"	"NOT CHRNS"	"Helical and coil conformations of poly(ethylene glycol) in isobutyric acid and water"	"Norman AI"	"Knowlton SE"	"Ho, DL, Greer SC"			
444	"Liu Y"	0	"Physical Review Letters"	"2005"	"95 (11)"	"118102"	1	"NG7SANS"	"NOT CHRNS"	"Effective long-range attraction between prrotien molecules in solutions studied by small angle neutron scattering"	"Fratini E"	"Baglioni P"	"Chen W-R, Chen S-H"			
445	"Hobbie EK"	1	"Langmuir"	"2005"	"21 (23)"	"10284"	1	"NG3SANS"	"CHRNS"	"Colloidal particles coated and stabilized by DNA-wrapped carbon nanotubes"	"Bauer BJ"	"Stephens J"	"Becker ML, McGuiggan, Hudson SD, Wang H"			
447	"Zhou J"	1	"Biophysical Journal"	"2006"	"90 (2)"	"544"	1	"NG3SANS"	"CHRNS"	"Conformational Changes in Single-Strand DNA as a Function of Temperature by SANS"	"Gregurick SK"	"Krueger S"	"Schwarz FP"			
448	"Kuzmanovic DA"	1	"Journal of Molecular Biology"	"2006"	"355 (5)"	"1095"	1	"NG3SANS and NG7SANS"	"CHRNS"	"The MS2 Coat Protein Shell is Likely Assembled Under Tension: A Novel Role for the MS2 Bacteriophage A Protein as Revealed by Small-angle Neutron Scattering"	"Elashvili I"	"Wick C"	"O’Connell C, Krueger S"			
449	"Kim M-H"	1	"Review of Scientific Instruments"	"2005"	"76(11)"	"113904"	1	"NG7SANS"	"NOT CHRNS"	"In-situ Vapor Sorption Apparatus for Small Angle Neutron Scattering (SANS) and Its Application"	"Glinka CJ"	"Carter R"				
450	"Norman AI"	1	"Journal of Physical Chemistry B"	"2006"	"110 (1)"	"62"	1	"NG7SANS"	"NOT CHRNS"	"Spontaneous Formation of Vesicles of Diblock Copolymer EO6BO11 in Water: A SANS Study"	"Ho DL"	"Lee J-H"	"Karim A"			
451	"Krueger S"	1	"Misbehaving Proteins:Protein (Mis) Folding, Aggregation and Stability, Kluwer Academic, New York"	"2006"		"125"	0	"NG7SANS"	"NOT CHRNS"	"Small Angle Neutron Scattering as a Probe for Protein Aggregation at Many Length Scales"	"Ho DL"	"Tsai A"				
452	"Ho DL"	1	"Journal of Polymer Science B"	"2006"	"44"	"557"	1	"NG3SANS and USANS"	"CHRNS"	"Unusual Phase Behavior in Mixtures of Poly(ethylene oxide) and Ethyl Alcohol"	"Hammouda B"	"Kline SR"	"Chen W-R"			
453	"Chen Y"	1	"Physical Review B"	"2005"	"72 (18)"	"184401"	1	"NG7SANS"	"NOT CHRNS"	"Slow Spin-Glass and Fast Spin-Liquid Components in Quasi-Two-Dimensional La2(Cu,Li)O4"	"Bao W"	"Qiu Y"	"Lorenzo JE, Sarrao JL, Ho DL, Lin MY"			
454	"Hackley VA"	1	"Journal of Applied Crystallography"	"2005"	"38 (5)"	"619"	1	"NG7SANS"	"NOT CHRNS"	"Structure Development in Aerogel-Processed Nanocrystalline Alkaline-Earth Oxides as Revealed by SANS"	"Stoimenov PK"	"Ho DL"	"Sung L-P, Klabunde KJ"			
455	"Gu X"	0	"Journal of Coatings Technology"	"2005"	"2"	"547"	0	"NG1SANS and NG3SANS"	"CHRNS"	"Microstructure and Morphology of Amine-Cured Epoxy Coatings Before and After Outdoor Exposures - An AFM Study"	"Nguyen T"	"Oudina M"	"Martin D, Kidah B, Jasmin J, Rezig A, Sung L-P, Byrd E, Martin JW, Ho DL, Jean YC"			
456	"Barker JG"	1	"Journal of Applied Crystallography"	"2005"	"38 (6)"	"1004"	1	"USANS"	"CHRNS"	"Design and performance of a thermal-neutron double-crystal diffractometer for USANS at NIST"	"Glinka CJ"	"Moyer JJ"	"Kim M-H, Drews AR, Agamalian M"			
